init_method;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
Huang;123419.0;114197.0;106872.0;99966.0;97160.0;94928.0;92549.0;92081.0;91004.0;91071.0;88873.0;86791.0;86746.0;86208.0;86015.0;84630.0;83846.0;83901.0;84742.0;82048.0;81975.0;82617.0;81017.0;80567.0;81270.0;80847.0;79181.0;80738.0;79384.0;79160.0;78394.0;77927.0;77202.0;78435.0;78619.0;78372.0;77091.0;77798.0;76687.0
Cao;127537.0;127468.0;116329.0;116010.0;115089.0;115023.0;114859.0;113945.0;113432.0;113243.0;113009.0;113005.0;112533.0;112053.0;108007.0;107344.0;107276.0;107504.0;108833.0;107222.0;107207.0;106989.0;107056.0;107003.0;108564.0;108616.0;108562.0;108318.0;108166.0;106388.0;106374.0;109218.0;109203.0;108570.0;108678.0;108506.0;106666.0;106749.0;104089.0
random;123419.0;114662.0;106872.0;100074.0;98671.0;94821.0;93914.0;92967.0;90391.0;90791.0;89830.0;87572.0;86836.0;84924.0;86576.0;84178.0;83888.0;82422.0;82473.0;81246.0;81247.0;82333.0;81218.0;80203.0;78635.0;79487.0;79018.0;78175.0;76903.0;75344.0;76536.0;76723.0;76004.0;77698.0;75780.0;75563.0;74073.0;75127.0;74310.0
