date;bikes
2025-02-25;902005,902956,900249,900998,900508,900811,902268,902369,902919,902842,903037,901982,902566,900785,901278,900551,902430,902882,900599,900046,902632,900518,902114,900119,901427,901566,902646,902876,901048,900361,900032,902026,901819,901418,902543,902588,900499,900129,902680,902661,901443,902112,900531,901115,901207,903038,901455,901999,902482,901877,902851,900833,901145,902944,900102,902137,901893,901434,900961,901957,901274,900571,902096,900862,900127,901827,902208,900209,902141,900291,901226,901164,900279,902052,902080,900142,902824,902356,902429,900497,902841,901169,902895,900828,902132,902515,902601,900731,900704,902865,902035,900132,900488,901643,900633,902074,902923,901013,902398,902034,901713,902484,900433,902797,900290,900686,902773,900583,902318,902804,901147,901468,900033,900485,900197,902963,900348,903033,901239,901465,901517,900582,902292,902549,902575,900999,901793,902812,900758,902296,900837,900576,900353,902111,900565,901086,902184,901486,902415,902002,902329,901596,901874,900045,901482,901414,900963,902688,901340,900288,900444,901249,901898,901940,900143,901754,902820,900054,900858,903011,902747,902297,900369,902123,900748,902823,902381,900802,901504,900339,902239,901042,902763,902138,901529,901729,901824,901200,902782,901559,901134,902011,900993,901404,902364,900015,902898,901335,902905,902885,902716,901163,902200,902373,902504,900094,900682
2025-02-26;902005,902956,900249,900998,900508,900811,902268,902369,900059,902919,902842,903037,901982,902566,900785,901278,900551,902430,902882,900599,900046,902632,900518,902114,900119,901427,901036,901566,902646,902876,901048,900361,900032,902026,901565,901819,901418,902543,902652,902588,900499,901110,900129,902680,902661,902112,900531,901115,901207,903038,900456,901455,901999,900305,902482,901326,901877,900833,901145,901945,902087,902944,900102,902137,901893,901434,900961,901957,901274,900632,902096,900862,900127,902208,900209,902141,900291,901226,901164,900279,902052,900142,902080,902502,902824,902356,902429,900497,902132,902841,901169,902895,902515,902601,900731,902035,902865,900704,900132,900488,901643,901304,900633,902074,902923,901013,902398,902663,902034,901713,902484,900433,902797,900290,900686,902773,900583,902318,901330,902804,901147,900465,901468,900033,900485,900197,902963,900348,903033,901239,901338,901465,901517,900582,902292,902549,902503,902575,900999,901793,902812,900758,902296,900837,900576,900096,900353,902111,900565,901086,902184,901486,902415,902002,901963,902329,901596,900045,901874,901482,901414,900963,902688,901340,900288,900444,901249,901898,901940,900143,901754,902820,900054,900858,903011,902747,902297,900369,902351,902123,900748,902823,902381,900802,901504,900579,900339,902763,902239,901042,901712,900713,902138,900118,901727,901529,900668,901729,901816,901200,902869,902782,901559,901134,902011,900993,901404,902364,900015,902898,902905,902716,901163,902200,902373,902980,900595,902504,900682
2025-02-27;902919,900633,901468,901163,902824,900758,902601,901816,900142,900499,901340,900096,902841,900361,901404,900102,902482,901042,902026,900488,900291,900833,901169,901304,901877,902869,902137,900132,902035,902575,902184,900599,901134,902381,901754,900497,900993,902963,901713,900339,901147,900353,900508,903038,900785,903008,901418,902588,900565,900288,902005,900858,900465,902773,902268,900119,902716,902141,902980,901596,900279,902011,902138,901957,900531,902317,902074,902820,902123,901164,902763,902944,900682,900369,902652,901145,900209,902566,901504,900551,900632,901982,901110,902001,900456,900197,902503,901036,901434,901729,900704,901999,901486,900668,902543,901565,902797,900731,902661,901338,902329,902112,902002,900305,902087,902549,902292,900518,902632,901207,902750,902111,902515,901559,900485,900576,901498,902812,900713,901200,900015,901239,902502,902297,901712,900828,901013,901898,901330,902486,900127,901566,902876,901278,902364,900118,900348,901427,902823,900054,902688,902415,903011,902895,900862,901945,902200,902369,901963,900595,902318,902923,901115,903033,900802,901793,901819,902865,901643,902080,902898,902429,900837,902882,902239,902351,900143,902782,902430,902905,900579,900582,901326,900033,900444,901455,900046,900045,900686,901874,901274,902405,901893,900961,900249,902484,902804
2025-02-28;902919,900287,900633,901468,901163,902601,900758,902824,901816,900142,900499,901340,900096,902841,902154,900361,901404,900102,901042,902026,900488,900291,900833,901169,901304,901877,900132,902137,902869,902035,902575,901939,902184,900599,901134,902381,901754,900497,901713,902963,900993,900339,901147,900353,900508,903038,900785,903008,901418,902588,900565,900288,902005,900858,900465,902773,902268,900119,902716,902141,902980,901596,900279,902011,902138,901957,901570,900531,902317,902074,902820,902123,901164,902763,902944,900682,900369,901306,902652,901145,900209,902566,901504,900551,900632,901982,901110,902001,900456,900197,902503,901036,901434,901729,900704,901999,901486,900668,902543,901565,902797,900731,902661,901338,902329,902112,902002,900305,902087,902549,902292,900518,902632,901207,902750,902111,902515,901559,900485,900576,901498,902812,900713,901200,900015,901239,902502,902297,901712,900828,901013,901898,901330,902486,900127,901566,902876,901278,902364,901467,900118,900348,901427,902823,900181,900054,902688,902415,903011,902895,900862,901945,902200,902369,901963,900595,902318,902923,901115,903033,900802,901793,901819,902865,901643,902080,902898,902429,900837,902882,902239,902351,900143,902782,902430,902905,900579,900571,900582,901326,900033,900444,901455,900046,901274,900686,900045,902405,901874,901893,900961,900249,902484,902804
2025-03-01;901326,902268,900499,902661,902484,902415,902087,901207,903038,902593,900339,901566,901013,901467,901278,900119,902369,900033,900288,900361,901793,900713,902381,900582,900686,902588,900802,900576,900497,902026,900599,901504,901036,900837,900858,900132,901709,900833,902841,900704,902905,901729,901898,901468,901893,902080,900118,902297,902011,903007,901596,902112,902364,901110,902865,901570,900758,901042,902688,901434,900961,900513,900102,902980,900571,901404,900632,902502,900209,902716,901029,901330,901306,902549,902074,900249,902138,901340,901134,900143,902317,902632,902292,900595,902005,902543,902876,902200,901819,901559,901147,902035,902919,902486,902804,900287,902184,900305,902137,900127,900579,901754,900633,902923,901215,901877,900142,901874,902652,901163,900353,901169,902812,900054,901957,901565,902111,900565,902882,900862,900785,902963,900682,903008,901498,902824,902503,902329,901963,902895,902123,900348,902797,901712,902869,903039,900456,902430,901115,900551,900673,901338,903011,901939,900508,900369,902429,900279,900046,902141,901945,902092,902239,902750,902898,900531,901304,901982,902566,901455,900731,901999,900465,901427,902405,901239,902782,900096,900488,901418,900015,902823,901643,901713,901274,902482,901145,902601,900518,902318,900045,902515,903033,901200,900993,900828,900181,900197,902351,902763,901816,900668,902001,900291,901164,900444,900485,902820,902944,902773,902914
2025-03-02;901326,902268,900499,902661,902484,902415,902087,901207,903038,902593,900339,901013,901566,901467,901278,900119,902369,900033,900288,900361,900984,901793,900713,902381,900582,900686,902588,900802,900576,900497,902026,900599,901504,901036,900837,900858,900132,901709,902841,900833,900704,902905,901729,901898,901468,901893,902080,900118,902297,902011,903007,901596,902112,902364,901110,902865,901570,900758,901042,902688,901434,900961,900513,900102,902980,901404,900632,900209,902716,901029,901330,901306,902549,902074,900249,901340,902138,901134,900143,902317,902632,902292,900595,902005,902543,902200,901559,901819,902876,901147,902035,901573,902919,902486,902804,902184,900305,902137,900579,901754,900633,902923,901215,900142,901874,902652,901163,900353,901989,902812,900054,901957,901565,902111,900565,902619,902882,900862,900785,902963,900682,903008,900029,901264,901486,901498,902824,902503,902329,901963,902895,902123,900348,902870,902797,901712,902869,903039,900456,902430,901115,900551,900673,901338,903011,901939,900508,900369,902429,900279,900046,901345,902141,902852,901945,902239,902750,902898,900531,901304,901982,902566,901455,900731,901999,900465,901427,902405,901239,902782,900096,900113,900488,901418,902885,900015,902823,901643,901713,902396,901274,901145,902601,900518,902318,900045,902515,903033,901200,900993,900828,900181,900197,902351,900668,902763,901816,902001,900291,901164,900444,900485,902820,902944,902773,902914
2025-03-03;901326,902268,900499,902661,902801,902484,902415,902265,902087,901207,903038,902593,900339,901566,901013,901278,900119,900988,902369,900033,900288,900361,900984,901793,900713,902381,900582,900686,902588,902994,900802,900576,900497,900983,902026,900599,901504,901036,900837,900858,900132,901709,902841,900833,900704,900641,902905,902500,901729,901898,901468,901893,902080,900118,902297,902011,903007,901596,902112,902364,901110,902865,901570,900758,901042,902688,901823,901434,900961,900513,900102,902980,902518,901404,900209,902716,901029,901330,901306,902549,902074,900249,902138,901340,901134,900143,902632,902814,902292,900595,902005,902543,902200,902876,901819,901559,901147,902035,901573,902919,902486,902804,902184,900305,902137,900127,900579,901754,900633,902923,901215,900142,901874,902652,901163,900353,901989,902812,900054,901957,901565,902111,900565,902619,902882,900862,900785,902963,900682,903008,900029,901264,901486,901498,902329,901963,902895,902123,900348,902870,902760,902797,901712,902869,903039,900456,902430,901115,900551,900673,901338,903011,900508,900369,902429,900279,900046,901345,902141,902852,901945,902239,902750,902898,900531,901304,901982,902566,900731,901999,900465,901427,902405,901239,900541,902782,900096,900488,900113,901418,902885,900015,902823,901643,901274,901145,902601,900518,901252,902318,900045,902515,903033,901200,900993,900828,900181,902700,902351,900668,902763,901816,902001,900291,901164,900444,900485,902820,902944,902773,902914
2025-03-04;901306,901345,902080,901036,900054,902782,900497,902671,900046,902074,900565,900641,900305,901573,901418,901468,900682,902869,901274,900485,902184,901115,900993,900961,900102,900361,900668,902028,901427,902035,902963,903008,902814,902429,902509,903011,901676,902265,902601,901304,901013,901816,901709,901559,901134,900127,900499,901338,902297,900858,901200,902518,902895,901982,902026,900444,901434,901999,902415,900984,901147,900171,901404,900097,902905,901163,902549,902944,900513,902797,900096,901823,900833,902239,902329,902137,900132,902876,903038,901215,900595,902632,902885,902841,900508,901819,902852,900181,900142,902652,902870,902112,900288,900731,901565,901029,902661,902566,902980,900518,900339,902820,902898,902812,901164,900029,902543,900353,901330,901793,901643,902005,902430,900209,902716,900673,900599,900579,902011,901504,902593,901939,900551,901963,902750,900837,902405,902200,902865,901977,900369,901326,902994,902351,900249,902823,901972,902700,901898,902364,900488,900279,903033,901110,900633,901340,901596,900291,900582,901989,900862,900412,900828,900576,902141,902178,902381,902515,902801,901945,900802,901729,902914,902588,900015,903039,901498,902500,901712,900713,902688,902923,902318,902292,901893,900143,902486,902111,900983,900348,902882,901145,902087,901957,901239,900785,902763,900758,902369,901486,902919,900988,901874,901207,902484,901278,901042,900531,900045,900456,900118,902001,902773,901585,901264,901566,900033,900704,902804,902268,900119,900686,902138,902123,903007
2025-03-05;902381,902566,902429,901278,901963,900412,900353,901945,901340,901115,900045,901982,900518,901730,901207,902716,902898,901898,900599,900686,902937,901709,901345,902763,902773,901498,902184,902801,901264,901712,900288,901566,902112,902889,901434,900551,902415,900731,901330,900862,901338,902823,901145,902137,901200,902087,901013,900096,903038,900348,900127,901427,900361,901215,902944,902905,902882,902001,901042,903007,902178,900988,900531,900961,900132,902011,902797,900565,902138,900143,902268,902652,900828,900713,902405,900249,901504,901585,900833,900704,901110,902549,901565,902515,900673,902123,900983,900054,902870,901816,902671,900802,902632,902509,900159,900499,902484,902611,901559,902865,902074,900291,902919,900497,902329,900119,901274,902369,900576,901676,900046,902750,900369,900513,902980,901164,902923,900633,901029,901466,901972,902486,902782,902351,901147,902292,902028,902593,902262,902430,902661,901570,900758,902814,902026,902895,902869,901326,902885,900595,900832,901486,902820,901957,902543,902812,902297,900488,900668,901573,900456,900785,901418,902265,901939,902876,900913,903039,902518,902914,900984,900209,903033,900682,900029,901216,901999,901304,901793,900716,901874,900509,900325,901819,903008,902080,902035,902963,900858,902588,902111,901596,902318,900102,902423,900641,901729,901643,900339,901893,902841,900118,902141,903011,902601,901306,900142,902213,902239,902700,902005,900305,900015,901163,901977,901989,900993,900837,902364,900582,900366,900171,902994,900033,900181,900508,901404,901036,902688,900444,901134,900279,902804
2025-03-06;902381,902566,901278,901963,900412,900353,901945,901340,901115,900409,900045,901982,900518,901207,902716,902898,901898,900599,900686,902937,901709,901345,901872,902763,902773,901498,902184,902801,901264,901712,900288,902112,901566,902889,901032,901434,900551,900731,901330,900862,901338,902823,901200,902137,902087,901013,900096,903038,900127,901427,900361,901215,902944,902905,902001,901042,903007,902178,900988,900531,900961,900132,902011,902797,900565,902138,900143,902268,902652,900828,900713,902405,900249,901504,901585,900833,900704,901110,901565,902549,902515,900673,902123,900983,900054,902870,901816,902671,901172,901183,900802,902632,902509,900159,900499,902484,902611,901559,902865,902074,900291,902919,900497,902329,900119,901274,902369,900576,901676,900046,902750,900369,900513,901164,903215,902923,900633,901466,901029,901972,902486,902782,902351,901147,902292,902028,902593,902262,902430,902661,900758,902026,902895,902869,902885,900595,901326,900832,900743,901486,902820,902543,902812,902297,900488,901573,900456,900785,901418,902265,901939,902876,900913,903039,902518,902914,900984,900209,903033,900682,901216,900029,901999,901793,900716,901874,900509,900325,901819,903008,902080,902035,902963,900858,902588,902111,901596,902318,900102,902423,900481,900641,901729,901643,900339,901893,902841,900118,902141,902601,901306,900142,902213,902239,902700,902005,900305,900015,901163,901977,901989,900993,901558,900837,902364,900582,900366,900171,900033,900181,900508,901404,901036,902688,900444,901134,900279,902804
