date;number_of_available_bikes
2024-04-08;1763
2024-04-09;1810
2024-04-10;1852
2024-04-11;1923
2024-04-12;1963
2024-04-13;1986
2024-04-14;1986
2024-04-15;2004
2024-04-16;2019
2024-04-17;2045
2024-04-18;2078
2024-04-19;2092
2024-04-20;2054
2024-04-21;2055
2024-04-22;2069
2024-04-23;2091
2024-04-24;2143
2024-04-25;2173
2024-04-26;2188
2024-04-27;2181
2024-04-28;2186
2024-04-29;2218
2024-04-30;2224
2024-05-01;2216
2024-05-02;2215
2024-05-03;2219
2024-05-04;2216
2024-05-05;2241
2024-05-06;2237
2024-05-07;2236
2024-05-08;2265
2024-05-09;2278
2024-05-10;2294
2024-05-11;2306
2024-05-12;2300
2024-05-13;2283
2024-05-14;2308
2024-05-15;2315
2024-05-16;2320
2024-05-17;2320
2024-05-18;2343
2024-05-19;2346
2024-05-20;2325
2024-05-21;2338
2024-05-22;2344
2024-05-23;2351
2024-05-24;2360
2024-05-25;2351
2024-05-26;2353
2024-05-27;2366
2024-05-28;2382
2024-05-29;2349
2024-05-30;2292
2024-05-31;2330
2024-06-01;2345
2024-06-02;2368
2024-06-03;2374
2024-06-04;2318
2024-06-05;2308
2024-06-06;2285
2024-06-07;2254
2024-06-09;2223
2024-06-10;2257
2024-06-11;2251
2024-06-12;2238
2024-06-13;2207
2024-06-14;2151
2024-06-15;2112
2024-06-16;2084
2024-06-17;2111
2024-06-18;2093
2024-06-19;2075
2024-06-20;2080
2024-06-21;2059
2024-06-22;2051
2024-06-23;2070
2024-06-24;2034
2024-06-25;2047
2024-06-26;2061
2024-06-27;2104
2024-06-28;2103
2024-06-29;2098
2024-06-30;2074
2024-07-01;2070
2024-07-02;2093
2024-07-03;2098
2024-07-04;2088
2024-07-05;2085
2024-07-06;2068
2024-07-07;2065
2024-07-08;2077
2024-07-09;2088
2024-07-10;2071
2024-07-11;2069
2024-07-12;2047
2024-07-13;2063
2024-07-14;2050
2024-07-15;2013
2024-07-16;2052
2024-07-17;2028
2024-07-18;2047
2024-07-19;2043
2024-07-20;2024
2024-07-21;2037
2024-07-22;2057
2024-07-23;2072
2024-07-24;2057
2024-07-25;2049
2024-07-26;2076
2024-07-27;2071
2024-07-28;2059
2024-07-29;2094
2024-07-30;2110
2024-07-31;2136
2024-08-01;2159
2024-08-02;2146
2024-08-03;2127
2024-08-04;2117
2024-08-05;2102
2024-08-06;2122
2024-08-07;2137
2024-08-08;2096
2024-08-12;2059
2024-08-13;2111
2024-08-14;2080
